Date,Name,Weekday,Type
2012-08-10,Janmashtami,FRIDAY,Gazetted Holiday
2012-08-15,Independence Day,WEDNESDAY,Gazetted Holiday
2012-08-17,Jamat Ul-Vida,FRIDAY,Restricted Holiday
2012-08-18,Parsi New Year,SATURDAY,Restricted Holiday
2012-08-20,Ramzan Id/Eid-ul-Fitar,MONDAY,Gazetted Holiday
2012-08-29,Onam,WEDNESDAY,Restricted Holiday
2012-09-19,Ganesh Chaturthi/Vinayaka Chaturthi,WEDNESDAY,Restricted Holiday
2012-09-22,September Equinox,SATURDAY,Season
2012-10-02,Mahatma Gandhi Jayanti,MONDAY,Gazetted Holiday
2012-10-21,Maha Saptami,SUNDAY,Restricted Holiday
2012-10-22,Maha Ashtami,MONDAY,Restricted Holiday
2012-10-24,Dussehra,WEDNESDAY,Gazetted Holiday
2012-10-27,Bakr Id/Eid ul-Adha,SATURDAY,Gazetted Holiday
2012-10-29,Maharishi Valmiki Jayanti,MONDAY,Restricted Holiday
2012-10-31,Halloween,WEDNESDAY,Observance
2012-11-02,Karaka Chaturthi (Karva Chauth),FRIDAY,Restricted Holiday
2012-11-12,Naraka Chaturdasi,MONDAY,Restricted Holiday
2012-11-13,Diwali/Deepavali,MONDAY,Gazetted Holiday
2012-11-14,Govardhan Puja,WEDNESDAY,Restricted Holiday
2012-11-15,Bhai Duj,THURSDAY,Restricted Holiday
2012-11-19,Chhat Puja (Pratihar Sashthi/Surya Sashthi),MONDAY,Restricted Holiday
2012-11-24,Guru Tegh Bahadur's Martyrdom Day,SATURDAY,Restricted Holiday
2012-11-25,Muharram/Ashura,SUNDAY,Gazetted Holiday
2012-11-28,Guru Nanak Jayanti,WEDNESDAY,Gazetted Holiday
2012-12-09,First Day of Hanukkah,SUNDAY,Observance
2012-12-16,Last day of Hanukkah,SUNDAY,Observance
2012-12-21,December Solstice,FRIDAY,Season
2012-12-24,Christmas Eve,MONDAY,Restricted Holiday
2012-12-25,Christmas,MONDAY,Gazetted Holiday
2012-12-31,New Year's Eve,MONDAY,Observance
2013-01-01,New Year's Day,MONDAY,Restricted Holiday
2013-01-13,Makar Sankranti,SUNDAY,Restricted Holiday
2013-01-14,Pongal,MONDAY,Restricted Holiday
2013-01-18,Guru Govind Singh Jayanti,FRIDAY,Restricted Holiday
2013-01-25,Milad un-Nabi/Id-e-Milad,FRIDAY,Gazetted Holiday
2013-01-26,Republic Day,SATURDAY,Gazetted Holiday
2013-02-10,Chinese New Year,SUNDAY,Observance
2013-02-14,Valentine's Day,THURSDAY,Observance
2013-02-15,Vasant Panchami,FRIDAY,Restricted Holiday
2013-02-19,Shivaji Jayanti,MONDAY,Restricted Holiday
2013-02-23,Maharishi Dayanand Saraswati Jayanti,SATURDAY,Restricted Holiday
2013-02-25,Guru Ravidas Jayanti,MONDAY,Restricted Holiday
2013-03-10,Maha Shivaratri/Shivaratri,SUNDAY,Gazetted Holiday
2013-03-20,March Equinox,WEDNESDAY,Season
2013-03-26,First day of Passover,MONDAY,Observance
2013-03-26,Holika Dahana,MONDAY,Restricted Holiday
2013-03-27,Holi,WEDNESDAY,Restricted Holiday
2013-03-27,Holi,WEDNESDAY,Gazetted Holiday
2013-03-28,Maundy Thursday,THURSDAY,"Observance, Christian"
2013-03-29,Good Friday,FRIDAY,Gazetted Holiday
2013-03-31,Easter Day,SUNDAY,Restricted Holiday
2013-04-11,Chaitra Sukhladi,THURSDAY,Restricted Holiday
2013-04-13,Vaisakhi,SATURDAY,Restricted Holiday
2013-04-14,Mesadi/Vaisakhadi,SUNDAY,Restricted Holiday
2013-04-14,Ambedkar Jayanti,SUNDAY,Observance
2013-04-19,Rama Navami,FRIDAY,Gazetted Holiday
2013-04-24,Mahavir Jayanti,WEDNESDAY,Gazetted Holiday
2013-05-01,May Day,WEDNESDAY,Observance
2013-05-08,Birthday of Ravindranath,WEDNESDAY,Restricted Holiday
2013-05-12,Mother's Day,SUNDAY,Observance
2013-05-24,Hazarat Ali's Birthday,FRIDAY,Restricted Holiday
2013-05-25,Buddha Purnima/Vesak,SATURDAY,Gazetted Holiday
2013-06-16,Father's Day,SUNDAY,Observance
2013-06-21,June Solstice,FRIDAY,Season
2013-07-10,Rath Yatra,WEDNESDAY,Restricted Holiday
2013-07-22,Guru Purnima,MONDAY,Observance
2013-08-02,Jamat Ul-Vida,FRIDAY,Restricted Holiday
2013-08-04,Friendship Day,SUNDAY,Observance
2013-08-09,Ramzan Id/Eid-ul-Fitar,FRIDAY,"Muslim, Common local holiday"
2013-08-15,Independence Day,THURSDAY,Gazetted Holiday
2013-08-18,Parsi New Year,SUNDAY,Restricted Holiday
2013-08-20,Raksha Bandhan (Rakhi),MONDAY,Restricted Holiday
2013-08-28,Janmashtami,WEDNESDAY,Gazetted Holiday
2013-09-09,Ganesh Chaturthi/Vinayaka Chaturthi,MONDAY,Restricted Holiday
2013-09-16,Onam,MONDAY,Restricted Holiday
2013-09-23,September Equinox,MONDAY,Season
2013-10-02,Mahatma Gandhi Jayanti,WEDNESDAY,Gazetted Holiday
2013-10-11,Maha Saptami,FRIDAY,Restricted Holiday
2013-10-12,Maha Ashtami,SATURDAY,Restricted Holiday
2013-10-13,Dussehra,SUNDAY,Gazetted Holiday
2013-10-16,Bakr Id/Eid ul-Adha,WEDNESDAY,Gazetted Holiday
2013-10-18,Maharishi Valmiki Jayanti,FRIDAY,Restricted Holiday
2013-10-22,Karaka Chaturthi (Karva Chauth),MONDAY,Restricted Holiday
2013-10-31,Halloween,THURSDAY,Observance
2013-11-02,Naraka Chaturdasi,SATURDAY,Restricted Holiday
2013-11-03,Diwali/Deepavali,SUNDAY,Gazetted Holiday
2013-11-04,Govardhan Puja,MONDAY,Restricted Holiday
2013-11-05,Bhai Duj,MONDAY,Restricted Holiday
2013-11-08,Chhat Puja (Pratihar Sashthi/Surya Sashthi),FRIDAY,Restricted Holiday
2013-11-14,Muharram/Ashura,THURSDAY,Gazetted Holiday
2013-11-17,Guru Nanak Jayanti,SUNDAY,Gazetted Holiday
2013-11-24,Guru Tegh Bahadur's Martyrdom Day,SUNDAY,Restricted Holiday
2013-11-28,First Day of Hanukkah,THURSDAY,Observance
2013-12-05,Last day of Hanukkah,THURSDAY,Observance
2013-12-21,December Solstice,SATURDAY,Season
2013-12-24,Christmas Eve,MONDAY,Restricted Holiday
2013-12-25,Christmas,WEDNESDAY,Gazetted Holiday
2013-12-31,New Year's Eve,MONDAY,Observance
2014-01-01,New Year's Day,WEDNESDAY,Restricted Holiday
2014-01-07,Guru Govind Singh Jayanti,MONDAY,Restricted Holiday
2014-01-14,Pongal,MONDAY,Restricted Holiday
2014-01-14,Makar Sankranti,MONDAY,Restricted Holiday
2014-01-14,Milad un-Nabi/Id-e-Milad,MONDAY,Gazetted Holiday
2014-01-26,Republic Day,SUNDAY,Gazetted Holiday
2014-01-31,Chinese New Year,FRIDAY,Observance
2014-02-04,Vasant Panchami,MONDAY,Restricted Holiday
2014-02-14,Guru Ravidas Jayanti,FRIDAY,Restricted Holiday
2014-02-14,Valentine's Day,FRIDAY,Observance
2014-02-19,Shivaji Jayanti,WEDNESDAY,Restricted Holiday
2014-02-24,Maharishi Dayanand Saraswati Jayanti,MONDAY,Restricted Holiday
2014-02-27,Maha Shivaratri/Shivaratri,THURSDAY,Gazetted Holiday
2014-03-16,Holi,SUNDAY,Gazetted Holiday
2014-03-16,Holika Dahana,SUNDAY,Restricted Holiday
2014-03-17,Holi,MONDAY,Restricted Holiday
2014-03-20,March Equinox,THURSDAY,Season
2014-03-31,Chaitra Sukhladi,MONDAY,Restricted Holiday
2014-04-08,Rama Navami,MONDAY,Gazetted Holiday
2014-04-13,Mahavir Jayanti,SUNDAY,Gazetted Holiday
2014-04-14,Vaisakhi,MONDAY,Restricted Holiday
2014-04-14,Ambedkar Jayanti,MONDAY,Observance
2014-04-15,First day of Passover,MONDAY,Observance
2014-04-15,Mesadi/Vaisakhadi,MONDAY,Restricted Holiday
2014-04-17,Maundy Thursday,THURSDAY,"Observance, Christian"
2014-04-18,Good Friday,FRIDAY,Gazetted Holiday
2014-04-20,Easter Day,SUNDAY,Restricted Holiday
2014-05-01,May Day,THURSDAY,Observance
2014-05-09,Birthday of Ravindranath,FRIDAY,Restricted Holiday
2014-05-11,Mother's Day,SUNDAY,Observance
2014-05-13,Hazarat Ali's Birthday,MONDAY,Restricted Holiday
2014-05-14,Buddha Purnima/Vesak,WEDNESDAY,Gazetted Holiday
2014-06-15,Father's Day,SUNDAY,Observance
2014-06-21,June Solstice,SATURDAY,Season
2014-06-29,Rath Yatra,SUNDAY,Restricted Holiday
2014-07-12,Guru Purnima,SATURDAY,Observance
2014-07-25,Jamat Ul-Vida,FRIDAY,Restricted Holiday
2014-07-29,Ramzan Id/Eid-ul-Fitar,MONDAY,"Muslim, Common local holiday"
2014-08-03,Friendship Day,SUNDAY,Observance
2014-08-10,Raksha Bandhan (Rakhi),SUNDAY,Restricted Holiday
2014-08-15,Independence Day,FRIDAY,Gazetted Holiday
2014-08-17,Janmashtami,SUNDAY,Gazetted Holiday
2014-08-18,Parsi New Year,MONDAY,Restricted Holiday
2014-08-29,Ganesh Chaturthi/Vinayaka Chaturthi,FRIDAY,Restricted Holiday
2014-09-07,Onam,SUNDAY,Restricted Holiday
2014-09-23,September Equinox,MONDAY,Season
2014-10-01,Maha Saptami,WEDNESDAY,Restricted Holiday
2014-10-02,Mahatma Gandhi Jayanti,THURSDAY,Gazetted Holiday
2014-10-02,Maha Ashtami,THURSDAY,Restricted Holiday
2014-10-03,Dussehra,FRIDAY,Gazetted Holiday
2014-10-06,Bakr Id/Eid ul-Adha,MONDAY,Gazetted Holiday
2014-10-11,Karaka Chaturthi (Karva Chauth),SATURDAY,Restricted Holiday
2014-10-22,Naraka Chaturdasi,WEDNESDAY,Restricted Holiday
2014-10-23,Diwali/Deepavali,THURSDAY,Gazetted Holiday
2014-10-24,Govardhan Puja,FRIDAY,Restricted Holiday
2014-10-25,Bhai Duj,SATURDAY,Restricted Holiday
2014-10-29,Chhat Puja (Pratihar Sashthi/Surya Sashthi),WEDNESDAY,Restricted Holiday
2014-10-31,Halloween,FRIDAY,Observance
2014-11-04,Muharram/Ashura,MONDAY,Gazetted Holiday
2014-11-06,Guru Nanak Jayanti,THURSDAY,Gazetted Holiday
2014-11-24,Guru Tegh Bahadur's Martyrdom Day,MONDAY,Restricted Holiday
2014-12-17,First Day of Hanukkah,WEDNESDAY,Observance
2014-12-22,December Solstice,MONDAY,Season
2014-12-24,Last day of Hanukkah,WEDNESDAY,Observance
2014-12-24,Christmas Eve,WEDNESDAY,Restricted Holiday
2014-12-25,Christmas,THURSDAY,Gazetted Holiday
2014-12-31,New Year's Eve,WEDNESDAY,Observance
2015-01-01,New Year's Day,THURSDAY,Restricted Holiday
2015-01-04,Milad un-Nabi/Id-e-Milad,SUNDAY,Gazetted Holiday
2015-01-05,Guru Govind Singh Jayanti,MONDAY,Restricted Holiday
2015-01-14,Makar Sankranti,WEDNESDAY,Restricted Holiday
2015-01-15,Pongal,THURSDAY,Restricted Holiday
2015-01-22,"Beti Bachao, Beti Padhao Campaign Launch Day",THURSDAY,Observance
2015-01-24,Vasant Panchami,SATURDAY,Restricted Holiday
2015-01-26,Republic Day,MONDAY,Gazetted Holiday
2015-02-03,Guru Ravidas Jayanti,MONDAY,Restricted Holiday
2015-02-14,Maharishi Dayanand Saraswati Jayanti,SATURDAY,Restricted Holiday
2015-02-14,Valentine's Day,SATURDAY,Observance
2015-02-17,Maha Shivaratri/Shivaratri,MONDAY,Gazetted Holiday
2015-02-19,Shivaji Jayanti,THURSDAY,Restricted Holiday
2015-02-19,Chinese New Year,THURSDAY,Observance
2015-03-05,Holika Dahana,THURSDAY,Restricted Holiday
2015-03-06,Holi,FRIDAY,Restricted Holiday
2015-03-21,March Equinox,SATURDAY,Season
2015-03-21,Chaitra Sukhladi,SATURDAY,Restricted Holiday
2015-03-28,Rama Navami,SATURDAY,Gazetted Holiday
2015-04-02,Maundy Thursday,THURSDAY,"Observance, Christian"
2015-04-02,Mahavir Jayanti,THURSDAY,Gazetted Holiday
2015-04-03,Good Friday,FRIDAY,Gazetted Holiday
2015-04-04,First day of Passover,SATURDAY,Observance
2015-04-05,Easter Day,SUNDAY,Restricted Holiday
2015-04-14,Vaisakhi,MONDAY,Restricted Holiday
2015-04-14,Ambedkar Jayanti,MONDAY,Observance
2015-04-15,Mesadi/Vaisakhadi,WEDNESDAY,Restricted Holiday
2015-05-01,May Day,FRIDAY,Observance
2015-05-03,Hazarat Ali's Birthday,SUNDAY,Restricted Holiday
2015-05-04,Buddha Purnima/Vesak,MONDAY,Gazetted Holiday
2015-05-09,Birthday of Ravindranath,SATURDAY,Restricted Holiday
2015-05-10,Mother's Day,SUNDAY,Observance
2015-06-21,Father's Day,SUNDAY,Observance
2015-06-21,June Solstice,SUNDAY,Season
2015-07-17,Jamat Ul-Vida,FRIDAY,Restricted Holiday
2015-07-18,Rath Yatra,SATURDAY,Restricted Holiday
2015-07-19,Ramzan Id/Eid-ul-Fitar,SUNDAY,"Muslim, Common local holiday"
2015-07-31,Guru Purnima,FRIDAY,Observance
2015-08-02,Friendship Day,SUNDAY,Observance
2015-08-15,Independence Day,SATURDAY,Gazetted Holiday
2015-08-18,Parsi New Year,MONDAY,Restricted Holiday
2015-08-28,Onam,FRIDAY,Restricted Holiday
2015-08-29,Raksha Bandhan (Rakhi),SATURDAY,Restricted Holiday
2015-09-05,Janmashtami,SATURDAY,Gazetted Holiday
2015-09-17,Ganesh Chaturthi/Vinayaka Chaturthi,THURSDAY,Restricted Holiday
2015-09-23,September Equinox,WEDNESDAY,Season
2015-09-25,Bakr Id/Eid ul-Adha,FRIDAY,Gazetted Holiday
2015-10-02,Mahatma Gandhi Jayanti,FRIDAY,Gazetted Holiday
2015-10-20,Maha Saptami,MONDAY,Restricted Holiday
2015-10-21,Maha Ashtami,WEDNESDAY,Restricted Holiday
2015-10-22,Dussehra,THURSDAY,Gazetted Holiday
2015-10-24,Muharram/Ashura,SATURDAY,Gazetted Holiday
2015-10-27,Maharishi Valmiki Jayanti,MONDAY,Restricted Holiday
2015-10-30,Karaka Chaturthi (Karva Chauth),FRIDAY,Restricted Holiday
2015-10-31,Halloween,SATURDAY,Observance
2015-11-10,Naraka Chaturdasi,MONDAY,Restricted Holiday
2015-11-11,Diwali/Deepavali,WEDNESDAY,Gazetted Holiday
2015-11-12,Govardhan Puja,THURSDAY,Restricted Holiday
2015-11-13,Bhai Duj,FRIDAY,Restricted Holiday
2015-11-17,Chhat Puja (Pratihar Sashthi/Surya Sashthi),MONDAY,Restricted Holiday
2015-11-24,Guru Tegh Bahadur's Martyrdom Day,MONDAY,Restricted Holiday
2015-11-25,Guru Nanak Jayanti,WEDNESDAY,Gazetted Holiday
2015-12-07,First Day of Hanukkah,MONDAY,Observance
2015-12-14,Last day of Hanukkah,MONDAY,Observance
2015-12-22,December Solstice,MONDAY,Season
2015-12-24,Christmas Eve,THURSDAY,Restricted Holiday
2015-12-25,Christmas,FRIDAY,Gazetted Holiday
2015-12-31,New Year's Eve,THURSDAY,Observance
2016-01-01,New Year's Day,FRIDAY,Restricted Holiday
2016-01-14,Makar Sankranti,THURSDAY,Restricted Holiday
2016-01-15,Pongal,FRIDAY,Restricted Holiday
2016-01-16,Guru Govind Singh Jayanti,SATURDAY,Restricted Holiday
2016-01-26,Republic Day,MONDAY,Gazetted Holiday
2016-02-08,Chinese New Year,MONDAY,Observance
2016-02-12,Vasant Panchami,FRIDAY,Restricted Holiday
2016-02-14,Valentine's Day,SUNDAY,Observance
2016-02-19,Shivaji Jayanti,FRIDAY,Restricted Holiday
2016-02-22,Guru Ravidas Jayanti,MONDAY,Restricted Holiday
2016-03-04,Maharishi Dayanand Saraswati Jayanti,FRIDAY,Restricted Holiday
2016-03-07,Maha Shivaratri/Shivaratri,MONDAY,Gazetted Holiday
2016-03-20,March Equinox,SUNDAY,Season
2016-03-23,Holika Dahana,WEDNESDAY,Restricted Holiday
2016-03-24,Maundy Thursday,THURSDAY,"Observance, Christian"
2016-03-24,Holi,THURSDAY,Restricted Holiday
2016-03-25,Good Friday,FRIDAY,Gazetted Holiday
2016-03-27,Easter Day,SUNDAY,Restricted Holiday
2016-04-08,Chaitra Sukhladi,FRIDAY,Restricted Holiday
2016-04-13,Vaisakhi,WEDNESDAY,Restricted Holiday
2016-04-14,Mesadi/Vaisakhadi,THURSDAY,Restricted Holiday
2016-04-14,Ambedkar Jayanti,THURSDAY,Observance
2016-04-15,Rama Navami,FRIDAY,Gazetted Holiday
2016-04-20,Mahavir Jayanti,WEDNESDAY,Gazetted Holiday
2016-04-21,Hazarat Ali's Birthday,THURSDAY,Restricted Holiday
2016-04-23,First day of Passover,SATURDAY,Observance
2016-05-01,May Day,SUNDAY,Observance
2016-05-08,Mother's Day,SUNDAY,Observance
2016-05-08,Birthday of Ravindranath,SUNDAY,Restricted Holiday
2016-05-21,Buddha Purnima/Vesak,SATURDAY,Gazetted Holiday
2016-06-19,Father's Day,SUNDAY,Observance
