Date,Name,Weekday,Type
2017-06-23,Jamat Ul-Vida,FRIDAY,Restricted Holiday
2017-06-25,Rath Yatra,SUNDAY,Restricted Holiday
2017-06-26,Ramzan Id/Eid-ul-Fitar,MONDAY,"Muslim, Common local holiday"
2017-07-09,Guru Purnima,SUNDAY,Observance
2017-08-06,Friendship Day,SUNDAY,Observance
2017-08-07,Raksha Bandhan (Rakhi),MONDAY,Restricted Holiday
2017-08-15,Independence Day,MONDAY,Gazetted Holiday
2017-08-15,Janmashtami,MONDAY,Gazetted Holiday
2017-08-17,Parsi New Year,THURSDAY,Restricted Holiday
2017-08-25,Ganesh Chaturthi/Vinayaka Chaturthi,FRIDAY,Restricted Holiday
2017-09-02,Bakr Id/Eid ul-Adha,SATURDAY,Gazetted Holiday
2017-09-04,Onam,MONDAY,Restricted Holiday
2017-09-23,September Equinox,SATURDAY,Season
2017-09-27,Maha Saptami,WEDNESDAY,Restricted Holiday
2017-09-28,Maha Ashtami,THURSDAY,Restricted Holiday
2017-09-29,Maha Navami,FRIDAY,Restricted Holiday
2017-09-30,Dussehra,SATURDAY,Gazetted Holiday
2017-10-01,Muharram/Ashura,SUNDAY,Gazetted Holiday
2017-10-02,Mahatma Gandhi Jayanti,MONDAY,Gazetted Holiday
2017-10-05,Maharishi Valmiki Jayanti,THURSDAY,Restricted Holiday
2017-10-08,Karaka Chaturthi (Karva Chauth),SUNDAY,Restricted Holiday
2017-10-18,Naraka Chaturdasi,WEDNESDAY,Restricted Holiday
2017-10-19,Diwali/Deepavali,THURSDAY,Gazetted Holiday
2017-10-20,Govardhan Puja,FRIDAY,Restricted Holiday
2017-10-21,Bhai Duj,SATURDAY,Restricted Holiday
2017-10-26,Chhat Puja (Pratihar Sashthi/Surya Sashthi),THURSDAY,Restricted Holiday
2017-10-31,Halloween,MONDAY,Observance
2017-11-04,Guru Nanak Jayanti,SATURDAY,Gazetted Holiday
2017-11-24,Guru Tegh Bahadur's Martyrdom Day,FRIDAY,Restricted Holiday
2017-12-02,Milad un-Nabi/Id-e-Milad,SATURDAY,Gazetted Holiday
2017-12-13,First Day of Hanukkah,WEDNESDAY,Observance
2017-12-20,Last day of Hanukkah,WEDNESDAY,Observance
2017-12-21,December Solstice,THURSDAY,Season
2017-12-24,Christmas Eve,SUNDAY,Restricted Holiday
2017-12-25,Christmas,MONDAY,Gazetted Holiday
2017-12-25,Guru Govind Singh Jayanti,MONDAY,Observance
2017-12-31,New Year's Eve,SUNDAY,Observance
