ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
Big Street ATM,2011-01-01,50,20,30,123800,41700,82100,SATURDAY,H,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
Mount Road ATM,2011-01-01,253,67,186,767900,270900,497000,SATURDAY,C,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
Airport ATM,2011-01-01,98,56,42,503400,347700,155700,SATURDAY,C,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
KK Nagar ATM,2011-01-01,265,159,106,945300,532600,412700,SATURDAY,C,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
Christ College ATM,2011-01-01,74,25,49,287700,148200,139500,SATURDAY,C,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
Big Street ATM,2011-01-02,17,5,12,52800,20900,31900,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
Mount Road ATM,2011-01-02,194,50,144,529300,171700,357600,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
Airport ATM,2011-01-02,67,53,14,268600,213300,55300,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
KK Nagar ATM,2011-01-02,260,155,105,809400,456200,353200,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
Christ College ATM,2011-01-02,80,24,56,300000,95600,204400,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
Big Street ATM,2011-01-03,24,21,3,88100,77100,11000,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
Mount Road ATM,2011-01-03,246,115,131,897100,462600,434500,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
Airport ATM,2011-01-03,109,90,19,603900,501800,102100,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
KK Nagar ATM,2011-01-03,309,232,77,1333100,1010600,322500,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
Christ College ATM,2011-01-03,108,46,62,522800,210900,311900,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
Big Street ATM,2011-01-04,34,12,22,101600,51200,50400,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
Mount Road ATM,2011-01-04,246,96,150,826000,374200,451800,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
Airport ATM,2011-01-04,113,80,33,541600,418400,123200,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
KK Nagar ATM,2011-01-04,225,175,50,999400,798800,200600,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
Christ College ATM,2011-01-04,143,41,102,737400,238000,499400,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
Big Street ATM,2011-01-05,30,14,16,98000,52700,45300,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
Mount Road ATM,2011-01-05,211,107,104,754400,437800,316600,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
Airport ATM,2011-01-05,100,70,30,530000,424400,105600,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
KK Nagar ATM,2011-01-05,255,209,46,959200,806500,152700,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
Christ College ATM,2011-01-05,95,41,54,387300,213600,173700,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
Big Street ATM,2011-01-06,29,16,13,85900,54400,31500,THURSDAY,NH,W,WWW,27,18,10.2,5,7,08:05 AM,07:59 PM,06:46 AM,06:12 PM,17,22,23,22,11,52,76,0.4,1011,27,8,72,8
Mount Road ATM,2011-01-06,213,89,124,834200,355700,478500,THURSDAY,NH,W,WWW,27,18,10.2,5,7,08:05 AM,07:59 PM,06:46 AM,06:12 PM,17,22,23,22,11,52,76,0.4,1011,27,8,72,8
Airport ATM,2011-01-06,96,73,23,434500,359200,75300,THURSDAY,NH,W,WWW,27,18,10.2,5,7,08:05 AM,07:59 PM,06:46 AM,06:12 PM,17,22,23,22,11,52,76,0.4,1011,27,8,72,8
KK Nagar ATM,2011-01-06,211,176,35,820700,702900,117800,THURSDAY,NH,W,WWW,27,18,10.2,5,7,08:05 AM,07:59 PM,06:46 AM,06:12 PM,17,22,23,22,11,52,76,0.4,1011,27,8,72,8
Christ College ATM,2011-01-06,116,50,66,430500,168700,261800,THURSDAY,NH,W,WWW,27,18,10.2,5,7,08:05 AM,07:59 PM,06:46 AM,06:12 PM,17,22,23,22,11,52,76,0.4,1011,27,8,72,8
Big Street ATM,2011-01-07,23,13,10,76500,50600,25900,FRIDAY,NH,W,WWW,29,16,11.6,6,14,08:46 AM,08:47 PM,06:46 AM,06:12 PM,16,22,23,22,10,32,71,0.0,1011,29,8,54,6
Mount Road ATM,2011-01-07,172,99,73,575300,427300,148000,FRIDAY,NH,W,WWW,29,16,11.6,6,14,08:46 AM,08:47 PM,06:46 AM,06:12 PM,16,22,23,22,10,32,71,0.0,1011,29,8,54,6
Airport ATM,2011-01-07,85,64,21,334800,248400,86400,FRIDAY,NH,W,WWW,29,16,11.6,6,14,08:46 AM,08:47 PM,06:46 AM,06:12 PM,16,22,23,22,10,32,71,0.0,1011,29,8,54,6
KK Nagar ATM,2011-01-07,205,175,30,833500,706900,126600,FRIDAY,NH,W,WWW,29,16,11.6,6,14,08:46 AM,08:47 PM,06:46 AM,06:12 PM,16,22,23,22,10,32,71,0.0,1011,29,8,54,6
Christ College ATM,2011-01-07,85,46,39,345800,212300,133500,FRIDAY,NH,W,WWW,29,16,11.6,6,14,08:46 AM,08:47 PM,06:46 AM,06:12 PM,16,22,23,22,10,32,71,0.0,1011,29,8,54,6
Big Street ATM,2011-01-08,37,17,20,128600,54200,74400,SATURDAY,NH,H,WHH,30,16,11.6,6,21,09:25 AM,09:34 PM,06:47 AM,06:13 PM,15,23,23,23,11,23,67,0.0,1010,30,9,24,6
Mount Road ATM,2011-01-08,212,99,113,792700,531500,261200,SATURDAY,NH,H,WHH,30,16,11.6,6,21,09:25 AM,09:34 PM,06:47 AM,06:13 PM,15,23,23,23,11,23,67,0.0,1010,30,9,24,6
Airport ATM,2011-01-08,126,84,42,518900,395700,123200,SATURDAY,NH,H,WHH,30,16,11.6,6,21,09:25 AM,09:34 PM,06:47 AM,06:13 PM,15,23,23,23,11,23,67,0.0,1010,30,9,24,6
KK Nagar ATM,2011-01-08,217,169,48,782100,606300,175800,SATURDAY,NH,H,WHH,30,16,11.6,6,21,09:25 AM,09:34 PM,06:47 AM,06:13 PM,15,23,23,23,11,23,67,0.0,1010,30,9,24,6
Christ College ATM,2011-01-08,86,45,41,366500,195500,171000,SATURDAY,NH,H,WHH,30,16,11.6,6,21,09:25 AM,09:34 PM,06:47 AM,06:13 PM,15,23,23,23,11,23,67,0.0,1010,30,9,24,6
Big Street ATM,2011-01-09,36,17,19,89000,37600,51400,SUNDAY,NH,H,HHW,30,15,11.6,6,29,10:01 AM,10:18 PM,06:47 AM,06:14 PM,15,24,24,24,9,5,62,0.0,1010,30,9,115,5
Mount Road ATM,2011-01-09,311,50,261,751800,217400,534400,SUNDAY,NH,H,HHW,30,15,11.6,6,29,10:01 AM,10:18 PM,06:47 AM,06:14 PM,15,24,24,24,9,5,62,0.0,1010,30,9,115,5
Airport ATM,2011-01-09,106,62,44,337100,243300,93800,SUNDAY,NH,H,HHW,30,15,11.6,6,29,10:01 AM,10:18 PM,06:47 AM,06:14 PM,15,24,24,24,9,5,62,0.0,1010,30,9,115,5
KK Nagar ATM,2011-01-09,149,114,35,438000,332000,106000,SUNDAY,NH,H,HHW,30,15,11.6,6,29,10:01 AM,10:18 PM,06:47 AM,06:14 PM,15,24,24,24,9,5,62,0.0,1010,30,9,115,5
Christ College ATM,2011-01-09,100,40,60,363800,212200,151600,SUNDAY,NH,H,HHW,30,15,11.6,6,29,10:01 AM,10:18 PM,06:47 AM,06:14 PM,15,24,24,24,9,5,62,0.0,1010,30,9,115,5
Big Street ATM,2011-01-10,29,14,15,89800,60500,29300,MONDAY,NH,W,HWW,29,15,11.6,6,36,10:37 AM,11:03 PM,06:47 AM,06:14 PM,12,24,24,24,11,1,50,0.0,1011,29,10,100,7
Mount Road ATM,2011-01-10,219,108,111,702200,487500,214700,MONDAY,NH,W,HWW,29,15,11.6,6,36,10:37 AM,11:03 PM,06:47 AM,06:14 PM,12,24,24,24,11,1,50,0.0,1011,29,10,100,7
Airport ATM,2011-01-10,99,73,26,424200,310800,113400,MONDAY,NH,W,HWW,29,15,11.6,6,36,10:37 AM,11:03 PM,06:47 AM,06:14 PM,12,24,24,24,11,1,50,0.0,1011,29,10,100,7
KK Nagar ATM,2011-01-10,224,192,32,949700,826100,123600,MONDAY,NH,W,HWW,29,15,11.6,6,36,10:37 AM,11:03 PM,06:47 AM,06:14 PM,12,24,24,24,11,1,50,0.0,1011,29,10,100,7
Christ College ATM,2011-01-10,116,53,63,545400,315800,229600,MONDAY,NH,W,HWW,29,15,11.6,6,36,10:37 AM,11:03 PM,06:47 AM,06:14 PM,12,24,24,24,11,1,50,0.0,1011,29,10,100,7
Big Street ATM,2011-01-11,42,20,22,111900,74400,37500,TUESDAY,NH,W,WWW,29,14,11.6,5,43,11:13 AM,11:49 PM,06:47 AM,06:15 PM,9,23,23,23,10,0,43,0.0,1011,29,10,67,6
Mount Road ATM,2011-01-11,232,94,138,506000,261800,244200,TUESDAY,NH,W,WWW,29,14,11.6,5,43,11:13 AM,11:49 PM,06:47 AM,06:15 PM,9,23,23,23,10,0,43,0.0,1011,29,10,67,6
Airport ATM,2011-01-11,101,70,31,390700,273100,117600,TUESDAY,NH,W,WWW,29,14,11.6,5,43,11:13 AM,11:49 PM,06:47 AM,06:15 PM,9,23,23,23,10,0,43,0.0,1011,29,10,67,6
KK Nagar ATM,2011-01-11,228,180,48,837900,705600,132300,TUESDAY,NH,W,WWW,29,14,11.6,5,43,11:13 AM,11:49 PM,06:47 AM,06:15 PM,9,23,23,23,10,0,43,0.0,1011,29,10,67,6
Christ College ATM,2011-01-11,92,36,56,343700,165600,178100,TUESDAY,NH,W,WWW,29,14,11.6,5,43,11:13 AM,11:49 PM,06:47 AM,06:15 PM,9,23,23,23,10,0,43,0.0,1011,29,10,67,6
Big Street ATM,2011-01-12,19,9,10,42700,13600,29100,WEDNESDAY,NH,W,WWW,29,10,11.6,5,51,11:51 AM,No moonset,06:48 AM,06:15 PM,6,22,22,22,10,0,36,0.0,1011,29,10,81,6
Mount Road ATM,2011-01-12,235,92,143,647600,363000,284600,WEDNESDAY,NH,W,WWW,29,10,11.6,5,51,11:51 AM,No moonset,06:48 AM,06:15 PM,6,22,22,22,10,0,36,0.0,1011,29,10,81,6
Airport ATM,2011-01-12,116,88,28,497200,427600,69600,WEDNESDAY,NH,W,WWW,29,10,11.6,5,51,11:51 AM,No moonset,06:48 AM,06:15 PM,6,22,22,22,10,0,36,0.0,1011,29,10,81,6
KK Nagar ATM,2011-01-12,198,176,22,769600,702300,67300,WEDNESDAY,NH,W,WWW,29,10,11.6,5,51,11:51 AM,No moonset,06:48 AM,06:15 PM,6,22,22,22,10,0,36,0.0,1011,29,10,81,6
Christ College ATM,2011-01-12,74,37,37,301300,177100,124200,WEDNESDAY,NH,W,WWW,29,10,11.6,5,51,11:51 AM,No moonset,06:48 AM,06:15 PM,6,22,22,22,10,0,36,0.0,1011,29,10,81,6
Big Street ATM,2011-01-13,22,12,10,81200,53600,27600,THURSDAY,NH,W,WWW,29,12,11.6,5,58,12:31 PM,12:36 AM,06:48 AM,06:16 PM,8,23,23,23,10,0,41,0.0,1011,29,10,53,6
Mount Road ATM,2011-01-13,184,93,91,506300,323100,183200,THURSDAY,NH,W,WWW,29,12,11.6,5,58,12:31 PM,12:36 AM,06:48 AM,06:16 PM,8,23,23,23,10,0,41,0.0,1011,29,10,53,6
Airport ATM,2011-01-13,103,81,22,411700,356500,55200,THURSDAY,NH,W,WWW,29,12,11.6,5,58,12:31 PM,12:36 AM,06:48 AM,06:16 PM,8,23,23,23,10,0,41,0.0,1011,29,10,53,6
KK Nagar ATM,2011-01-13,223,179,44,771400,649500,121900,THURSDAY,NH,W,WWW,29,12,11.6,5,58,12:31 PM,12:36 AM,06:48 AM,06:16 PM,8,23,23,23,10,0,41,0.0,1011,29,10,53,6
Christ College ATM,2011-01-13,143,52,91,510300,232700,277600,THURSDAY,NH,W,WWW,29,12,11.6,5,58,12:31 PM,12:36 AM,06:48 AM,06:16 PM,8,23,23,23,10,0,41,0.0,1011,29,10,53,6
Big Street ATM,2011-01-14,25,16,9,91100,67800,23300,FRIDAY,NH,W,WWH,29,13,11.6,5,65,01:15 PM,01:26 AM,06:48 AM,06:16 PM,11,23,23,23,11,0,52,0.0,1012,29,10,71,7
Mount Road ATM,2011-01-14,179,71,108,451400,250300,201100,FRIDAY,NH,W,WWH,29,13,11.6,5,65,01:15 PM,01:26 AM,06:48 AM,06:16 PM,11,23,23,23,11,0,52,0.0,1012,29,10,71,7
Airport ATM,2011-01-14,109,89,20,458500,424200,34300,FRIDAY,NH,W,WWH,29,13,11.6,5,65,01:15 PM,01:26 AM,06:48 AM,06:16 PM,11,23,23,23,11,0,52,0.0,1012,29,10,71,7
KK Nagar ATM,2011-01-14,238,176,62,876400,684200,192200,FRIDAY,NH,W,WWH,29,13,11.6,5,65,01:15 PM,01:26 AM,06:48 AM,06:16 PM,11,23,23,23,11,0,52,0.0,1012,29,10,71,7
Christ College ATM,2011-01-14,91,52,39,373000,241300,131700,FRIDAY,NH,W,WWH,29,13,11.6,5,65,01:15 PM,01:26 AM,06:48 AM,06:16 PM,11,23,23,23,11,0,52,0.0,1012,29,10,71,7
Big Street ATM,2011-01-15,24,16,8,115900,98700,17200,SATURDAY,H,H,WHH,29,13,11.6,6,72,02:03 PM,02:17 AM,06:48 AM,06:17 PM,13,23,23,23,11,1,59,0.0,1013,29,10,80,8
Mount Road ATM,2011-01-15,97,24,73,200500,119500,81000,SATURDAY,H,H,WHH,29,13,11.6,6,72,02:03 PM,02:17 AM,06:48 AM,06:17 PM,13,23,23,23,11,1,59,0.0,1013,29,10,80,8
Airport ATM,2011-01-15,52,35,17,163300,139800,23500,SATURDAY,H,H,WHH,29,13,11.6,6,72,02:03 PM,02:17 AM,06:48 AM,06:17 PM,13,23,23,23,11,1,59,0.0,1013,29,10,80,8
KK Nagar ATM,2011-01-15,119,96,23,321400,283100,38300,SATURDAY,H,H,WHH,29,13,11.6,6,72,02:03 PM,02:17 AM,06:48 AM,06:17 PM,13,23,23,23,11,1,59,0.0,1013,29,10,80,8
Christ College ATM,2011-01-15,53,30,23,206800,133800,73000,SATURDAY,H,H,WHH,29,13,11.6,6,72,02:03 PM,02:17 AM,06:48 AM,06:17 PM,13,23,23,23,11,1,59,0.0,1013,29,10,80,8
Big Street ATM,2011-01-16,17,9,8,55100,29500,25600,SUNDAY,H,H,HHH,30,14,11.6,6,80,02:56 PM,03:13 AM,06:48 AM,06:17 PM,16,23,23,23,10,22,70,0.0,1012,30,9,87,6
Mount Road ATM,2011-01-16,77,21,56,205300,64400,140900,SUNDAY,H,H,HHH,30,14,11.6,6,80,02:56 PM,03:13 AM,06:48 AM,06:17 PM,16,23,23,23,10,22,70,0.0,1012,30,9,87,6
Airport ATM,2011-01-16,42,33,9,154100,132800,21300,SUNDAY,H,H,HHH,30,14,11.6,6,80,02:56 PM,03:13 AM,06:48 AM,06:17 PM,16,23,23,23,10,22,70,0.0,1012,30,9,87,6
KK Nagar ATM,2011-01-16,99,78,21,274100,240100,34000,SUNDAY,H,H,HHH,30,14,11.6,6,80,02:56 PM,03:13 AM,06:48 AM,06:17 PM,16,23,23,23,10,22,70,0.0,1012,30,9,87,6
Christ College ATM,2011-01-16,36,15,21,95200,46100,49100,SUNDAY,H,H,HHH,30,14,11.6,6,80,02:56 PM,03:13 AM,06:48 AM,06:17 PM,16,23,23,23,10,22,70,0.0,1012,30,9,87,6
Big Street ATM,2011-01-17,37,28,9,129800,113600,16200,MONDAY,H,H,HHW,31,16,11.6,6,87,03:53 PM,04:09 AM,06:49 AM,06:18 PM,16,24,24,24,8,26,67,0.0,1012,31,8,126,5
Mount Road ATM,2011-01-17,72,34,38,221900,127100,94800,MONDAY,H,H,HHW,31,16,11.6,6,87,03:53 PM,04:09 AM,06:49 AM,06:18 PM,16,24,24,24,8,26,67,0.0,1012,31,8,126,5
Airport ATM,2011-01-17,40,24,16,100000,79600,20400,MONDAY,H,H,HHW,31,16,11.6,6,87,03:53 PM,04:09 AM,06:49 AM,06:18 PM,16,24,24,24,8,26,67,0.0,1012,31,8,126,5
KK Nagar ATM,2011-01-17,188,145,43,524800,438800,86000,MONDAY,H,H,HHW,31,16,11.6,6,87,03:53 PM,04:09 AM,06:49 AM,06:18 PM,16,24,24,24,8,26,67,0.0,1012,31,8,126,5
Christ College ATM,2011-01-17,46,25,21,126800,69300,57500,MONDAY,H,H,HHW,31,16,11.6,6,87,03:53 PM,04:09 AM,06:49 AM,06:18 PM,16,24,24,24,8,26,67,0.0,1012,31,8,126,5
Big Street ATM,2011-01-18,29,13,16,163600,73400,90200,TUESDAY,NH,W,HWW,30,15,11.6,6,94,04:53 PM,05:07 AM,06:49 AM,06:18 PM,14,24,24,24,9,4,60,0.0,1012,30,10,93,6
Mount Road ATM,2011-01-18,123,82,41,405200,360600,44600,TUESDAY,NH,W,HWW,30,15,11.6,6,94,04:53 PM,05:07 AM,06:49 AM,06:18 PM,14,24,24,24,9,4,60,0.0,1012,30,10,93,6
Airport ATM,2011-01-18,86,65,21,343100,273100,70000,TUESDAY,NH,W,HWW,30,15,11.6,6,94,04:53 PM,05:07 AM,06:49 AM,06:18 PM,14,24,24,24,9,4,60,0.0,1012,30,10,93,6
KK Nagar ATM,2011-01-18,225,159,66,831200,663600,167600,TUESDAY,NH,W,HWW,30,15,11.6,6,94,04:53 PM,05:07 AM,06:49 AM,06:18 PM,14,24,24,24,9,4,60,0.0,1012,30,10,93,6
Christ College ATM,2011-01-18,82,45,37,380000,216900,163100,TUESDAY,NH,W,HWW,30,15,11.6,6,94,04:53 PM,05:07 AM,06:49 AM,06:18 PM,14,24,24,24,9,4,60,0.0,1012,30,10,93,6
Big Street ATM,2011-01-19,33,16,17,79500,40200,39300,WEDNESDAY,NH,W,WWW,30,14,11.6,6,100,05:55 PM,06:03 AM,06:49 AM,06:19 PM,13,24,24,24,9,0,55,0.0,1011,30,10,94,6
Mount Road ATM,2011-01-19,152,69,83,537700,301300,236400,WEDNESDAY,NH,W,WWW,30,14,11.6,6,100,05:55 PM,06:03 AM,06:49 AM,06:19 PM,13,24,24,24,9,0,55,0.0,1011,30,10,94,6
Airport ATM,2011-01-19,106,86,20,428900,383600,45300,WEDNESDAY,NH,W,WWW,30,14,11.6,6,100,05:55 PM,06:03 AM,06:49 AM,06:19 PM,13,24,24,24,9,0,55,0.0,1011,30,10,94,6
KK Nagar ATM,2011-01-19,183,151,32,649200,583800,65400,WEDNESDAY,NH,W,WWW,30,14,11.6,6,100,05:55 PM,06:03 AM,06:49 AM,06:19 PM,13,24,24,24,9,0,55,0.0,1011,30,10,94,6
Christ College ATM,2011-01-19,124,39,85,446800,121100,325700,WEDNESDAY,NH,W,WWW,30,14,11.6,6,100,05:55 PM,06:03 AM,06:49 AM,06:19 PM,13,24,24,24,9,0,55,0.0,1011,30,10,94,6
Big Street ATM,2011-01-20,25,10,15,81700,38700,43000,THURSDAY,NH,W,WWW,30,12,11.6,6,100,06:56 PM,06:56 AM,06:49 AM,06:19 PM,10,24,24,24,10,0,47,0.0,1012,30,10,87,7
Mount Road ATM,2011-01-20,163,88,75,565500,404300,161200,THURSDAY,NH,W,WWW,30,12,11.6,6,100,06:56 PM,06:56 AM,06:49 AM,06:19 PM,10,24,24,24,10,0,47,0.0,1012,30,10,87,7
Airport ATM,2011-01-20,89,69,20,298000,250200,47800,THURSDAY,NH,W,WWW,30,12,11.6,6,100,06:56 PM,06:56 AM,06:49 AM,06:19 PM,10,24,24,24,10,0,47,0.0,1012,30,10,87,7
KK Nagar ATM,2011-01-20,120,97,23,445900,366900,79000,THURSDAY,NH,W,WWW,30,12,11.6,6,100,06:56 PM,06:56 AM,06:49 AM,06:19 PM,10,24,24,24,10,0,47,0.0,1012,30,10,87,7
Christ College ATM,2011-01-20,140,45,95,571300,244000,327300,THURSDAY,NH,W,WWW,30,12,11.6,6,100,06:56 PM,06:56 AM,06:49 AM,06:19 PM,10,24,24,24,10,0,47,0.0,1012,30,10,87,7
Big Street ATM,2011-01-21,21,17,4,86600,82700,3900,FRIDAY,NH,W,WWH,30,12,11.6,6,84,07:55 PM,07:47 AM,06:49 AM,06:20 PM,11,24,24,24,11,1,47,0.0,1013,30,10,66,8
Mount Road ATM,2011-01-21,139,66,73,450400,245500,204900,FRIDAY,NH,W,WWH,30,12,11.6,6,84,07:55 PM,07:47 AM,06:49 AM,06:20 PM,11,24,24,24,11,1,47,0.0,1013,30,10,66,8
Airport ATM,2011-01-21,67,56,11,350000,312600,37400,FRIDAY,NH,W,WWH,30,12,11.6,6,84,07:55 PM,07:47 AM,06:49 AM,06:20 PM,11,24,24,24,11,1,47,0.0,1013,30,10,66,8
KK Nagar ATM,2011-01-21,193,146,47,581500,435000,146500,FRIDAY,NH,W,WWH,30,12,11.6,6,84,07:55 PM,07:47 AM,06:49 AM,06:20 PM,11,24,24,24,11,1,47,0.0,1013,30,10,66,8
Christ College ATM,2011-01-21,90,44,46,386800,235800,151000,FRIDAY,NH,W,WWH,30,12,11.6,6,84,07:55 PM,07:47 AM,06:49 AM,06:20 PM,11,24,24,24,11,1,47,0.0,1013,30,10,66,8
Big Street ATM,2011-01-22,25,12,13,85400,50500,34900,SATURDAY,NH,H,WHH,29,13,11.6,6,77,08:53 PM,08:35 AM,06:49 AM,06:20 PM,12,23,23,23,12,0,55,0.0,1014,29,10,84,8
Mount Road ATM,2011-01-22,151,79,72,455600,308200,147400,SATURDAY,NH,H,WHH,29,13,11.6,6,77,08:53 PM,08:35 AM,06:49 AM,06:20 PM,12,23,23,23,12,0,55,0.0,1014,29,10,84,8
Airport ATM,2011-01-22,93,70,23,363600,316300,47300,SATURDAY,NH,H,WHH,29,13,11.6,6,77,08:53 PM,08:35 AM,06:49 AM,06:20 PM,12,23,23,23,12,0,55,0.0,1014,29,10,84,8
KK Nagar ATM,2011-01-22,196,168,28,683300,638800,44500,SATURDAY,NH,H,WHH,29,13,11.6,6,77,08:53 PM,08:35 AM,06:49 AM,06:20 PM,12,23,23,23,12,0,55,0.0,1014,29,10,84,8
Christ College ATM,2011-01-22,95,35,60,465300,240700,224600,SATURDAY,NH,H,WHH,29,13,11.6,6,77,08:53 PM,08:35 AM,06:49 AM,06:20 PM,12,23,23,23,12,0,55,0.0,1014,29,10,84,8
Big Street ATM,2011-01-23,18,8,10,36800,7100,29700,SUNDAY,NH,H,HHW,29,14,11.6,6,69,09:51 PM,09:22 AM,06:49 AM,06:21 PM,13,22,22,22,13,14,61,0.0,1014,29,9,88,9
Mount Road ATM,2011-01-23,134,71,63,352100,225200,126900,SUNDAY,NH,H,HHW,29,14,11.6,6,69,09:51 PM,09:22 AM,06:49 AM,06:21 PM,13,22,22,22,13,14,61,0.0,1014,29,9,88,9
Airport ATM,2011-01-23,87,71,16,288500,257700,30800,SUNDAY,NH,H,HHW,29,14,11.6,6,69,09:51 PM,09:22 AM,06:49 AM,06:21 PM,13,22,22,22,13,14,61,0.0,1014,29,9,88,9
KK Nagar ATM,2011-01-23,110,96,14,290000,253900,36100,SUNDAY,NH,H,HHW,29,14,11.6,6,69,09:51 PM,09:22 AM,06:49 AM,06:21 PM,13,22,22,22,13,14,61,0.0,1014,29,9,88,9
Christ College ATM,2011-01-23,45,29,16,212500,174200,38300,SUNDAY,NH,H,HHW,29,14,11.6,6,69,09:51 PM,09:22 AM,06:49 AM,06:21 PM,13,22,22,22,13,14,61,0.0,1014,29,9,88,9
Big Street ATM,2011-01-24,26,21,5,103900,89300,14600,MONDAY,NH,W,HWW,29,13,11.6,6,62,10:47 PM,10:07 AM,06:49 AM,06:21 PM,12,22,22,22,14,2,59,0.0,1014,29,9,89,10
Mount Road ATM,2011-01-24,153,71,82,498900,279000,219900,MONDAY,NH,W,HWW,29,13,11.6,6,62,10:47 PM,10:07 AM,06:49 AM,06:21 PM,12,22,22,22,14,2,59,0.0,1014,29,9,89,10
Airport ATM,2011-01-24,85,60,25,247800,202100,45700,MONDAY,NH,W,HWW,29,13,11.6,6,62,10:47 PM,10:07 AM,06:49 AM,06:21 PM,12,22,22,22,14,2,59,0.0,1014,29,9,89,10
KK Nagar ATM,2011-01-24,207,155,52,800500,618400,182100,MONDAY,NH,W,HWW,29,13,11.6,6,62,10:47 PM,10:07 AM,06:49 AM,06:21 PM,12,22,22,22,14,2,59,0.0,1014,29,9,89,10
