Date,Name,Weekday,Type
25-05-2013,Buddha Purnima/Vesak,SATURDAY,Gazetted Holiday
16-06-2013,Father's Day,SUNDAY,Observance
22-07-2013,Guru Purnima,MONDAY,Observance
02-08-2013,Jamat Ul-Vida,FRIDAY,Restricted Holiday
04-08-2013,Friendship Day,SUNDAY,Observance
09-08-2013,Ramzan Id/Eid-ul-Fitar,FRIDAY,Gazetted Holiday
15-08-2013,Independence Day,THURSDAY,Gazetted Holiday
18-08-2013,Parsi New Year,SUNDAY,Restricted Holiday
20-08-2013,Raksha Bandhan (Rakhi),MONDAY,Restricted Holiday
28-08-2013,Janmashtami,WEDNESDAY,Gazetted Holiday
09-09-2013,Ganesh Chaturthi/Vinayaka Chaturthi,MONDAY,Restricted Holiday
16-09-2013,Onam,MONDAY,Restricted Holiday
02-10-2013,Mahatma Gandhi Jayanti,WEDNESDAY,Gazetted Holiday
13-10-2013,Dussehra,SUNDAY,Gazetted Holiday
16-10-2013,Bakr Id/Eid ul-Adha,WEDNESDAY,Gazetted Holiday
31-10-2013,Halloween,THURSDAY,Observance
03-11-2013,Diwali/Deepavali,SUNDAY,Gazetted Holiday
05-11-2013,Bhai Duj,MONDAY,Restricted Holiday
14-11-2013,Muharram/Ashura,THURSDAY,Gazetted Holiday
17-11-2013,Guru Nanak Jayanti,SUNDAY,Gazetted Holiday
24-12-2013,Christmas Eve,MONDAY,Restricted Holiday
25-12-2013,Christmas,WEDNESDAY,Gazetted Holiday
31-12-2013,New Year's Eve,MONDAY,Observance
01-01-2014,New Year's Day,WEDNESDAY,Restricted Holiday
07-01-2014,Guru Govind Singh Jayanti,MONDAY,Restricted Holiday
14-01-2014,Milad un-Nabi/Id-e-Milad,MONDAY,Gazetted Holiday
26-01-2014,Republic Day,SUNDAY,Gazetted Holiday
14-02-2014,Valentine's Day,FRIDAY,Observance
19-02-2014,Shivaji Jayanti,WEDNESDAY,Restricted Holiday
27-02-2014,Maha Shivaratri/Shivaratri,THURSDAY,Gazetted Holiday
16-03-2014,Holika Dahana,SUNDAY,Restricted Holiday
17-03-2014,Holi,MONDAY,Gazetted Holiday
08-04-2014,Rama Navami,MONDAY,Gazetted Holiday
13-04-2014,Mahavir Jayanti,SUNDAY,Gazetted Holiday
14-04-2014,Ambedkar Jayanti,MONDAY,Observance
18-04-2014,Good Friday,FRIDAY,Gazetted Holiday
20-04-2014,Easter Day,SUNDAY,Restricted Holiday
01-05-2014,May Day,THURSDAY,Observance
11-05-2014,Mother's Day,SUNDAY,Observance
