ATM Name,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence,Day,Month,Year,Rainfall_Status
KK Nagar ATM,572400,SUNDAY,NH,H,HHW,5,8,2012,Light Rain
Christ College ATM,406000,SUNDAY,NH,H,HHW,5,8,2012,Light Rain
Big Street ATM,142700,SUNDAY,NH,H,HHW,6,8,2012,Light Rain
Mount Road ATM,887100,SUNDAY,NH,H,HHW,6,8,2012,Light Rain
Airport ATM,658200,SUNDAY,NH,H,HHW,6,8,2012,Light Rain
KK Nagar ATM,1496900,SUNDAY,NH,H,HHW,6,8,2012,Light Rain
Christ College ATM,634900,SUNDAY,NH,H,HHW,6,8,2012,Light Rain
Big Street ATM,176800,SUNDAY,NH,H,HHW,7,8,2012,Light Rain
Mount Road ATM,605300,SUNDAY,NH,H,HHW,7,8,2012,Light Rain
Airport ATM,647600,SUNDAY,NH,H,HHW,7,8,2012,Light Rain
KK Nagar ATM,1181700,SUNDAY,NH,H,HHW,7,8,2012,Light Rain
Christ College ATM,580000,SUNDAY,NH,H,HHW,7,8,2012,Light Rain
Big Street ATM,163800,SUNDAY,NH,H,HHW,8,8,2012,Light Rain
Mount Road ATM,556100,SUNDAY,NH,H,HHW,8,8,2012,Light Rain
Airport ATM,610800,SUNDAY,NH,H,HHW,8,8,2012,Light Rain
KK Nagar ATM,1119600,SUNDAY,NH,H,HHW,8,8,2012,Light Rain
Christ College ATM,592800,SUNDAY,NH,H,HHW,8,8,2012,Light Rain
Big Street ATM,170700,SUNDAY,NH,H,HHW,9,8,2012,No Rain
Mount Road ATM,510900,SUNDAY,NH,H,HHW,9,8,2012,No Rain
Airport ATM,583000,SUNDAY,NH,H,HHW,9,8,2012,No Rain
KK Nagar ATM,815500,SUNDAY,NH,H,HHW,9,8,2012,No Rain
Christ College ATM,342700,SUNDAY,NH,H,HHW,9,8,2012,No Rain
Big Street ATM,119100,SUNDAY,NH,H,HHW,10,8,2012,Light Rain
Mount Road ATM,597100,SUNDAY,NH,H,HHW,10,8,2012,Light Rain
Airport ATM,550100,SUNDAY,NH,H,HHW,10,8,2012,Light Rain
KK Nagar ATM,1198300,SUNDAY,NH,H,HHW,10,8,2012,Light Rain
Christ College ATM,319300,SUNDAY,NH,H,HHW,10,8,2012,Light Rain
Big Street ATM,30300,SATURDAY,NH,H,WHH,11,8,2012,Moderate Rain
Mount Road ATM,709000,SATURDAY,NH,H,WHH,11,8,2012,Moderate Rain
Airport ATM,632000,SATURDAY,NH,H,WHH,11,8,2012,Moderate Rain
KK Nagar ATM,1293000,SATURDAY,NH,H,WHH,11,8,2012,Moderate Rain
Christ College ATM,622200,SATURDAY,NH,H,WHH,11,8,2012,Moderate Rain
Big Street ATM,67500,SUNDAY,NH,H,HHW,12,8,2012,Moderate Rain
Mount Road ATM,214400,SUNDAY,NH,H,HHW,12,8,2012,Moderate Rain
Airport ATM,386500,SUNDAY,NH,H,HHW,12,8,2012,Moderate Rain
KK Nagar ATM,352300,SUNDAY,NH,H,HHW,12,8,2012,Moderate Rain
Christ College ATM,212100,SUNDAY,NH,H,HHW,12,8,2012,Moderate Rain
Big Street ATM,105600,SUNDAY,NH,H,HHW,13,8,2012,Light Rain
Mount Road ATM,667100,SUNDAY,NH,H,HHW,13,8,2012,Light Rain
Airport ATM,617800,SUNDAY,NH,H,HHW,13,8,2012,Light Rain
KK Nagar ATM,1246800,SUNDAY,NH,H,HHW,13,8,2012,Light Rain
Christ College ATM,408200,SUNDAY,NH,H,HHW,13,8,2012,Light Rain
Big Street ATM,150500,SUNDAY,NH,H,HHW,14,8,2012,Light Rain
Mount Road ATM,547500,SUNDAY,NH,H,HHW,14,8,2012,Light Rain
Airport ATM,660700,SUNDAY,NH,H,HHW,14,8,2012,Light Rain
KK Nagar ATM,855200,SUNDAY,NH,H,HHW,14,8,2012,Light Rain
Christ College ATM,319800,SUNDAY,NH,H,HHW,14,8,2012,Light Rain
Big Street ATM,200700,WEDNESDAY,N,H,WHW,15,8,2012,Moderate Rain
Mount Road ATM,422900,WEDNESDAY,N,H,WHW,15,8,2012,Moderate Rain
Airport ATM,542600,WEDNESDAY,N,H,WHW,15,8,2012,Moderate Rain
KK Nagar ATM,668300,WEDNESDAY,N,H,WHW,15,8,2012,Moderate Rain
Christ College ATM,302400,WEDNESDAY,N,H,WHW,15,8,2012,Moderate Rain
Big Street ATM,178900,WEDNESDAY,N,H,WHW,16,8,2012,Moderate Rain
Mount Road ATM,647900,WEDNESDAY,N,H,WHW,16,8,2012,Moderate Rain
Airport ATM,702600,WEDNESDAY,N,H,WHW,16,8,2012,Moderate Rain
KK Nagar ATM,1060700,WEDNESDAY,N,H,WHW,16,8,2012,Moderate Rain
Christ College ATM,448500,WEDNESDAY,N,H,WHW,16,8,2012,Moderate Rain
Big Street ATM,80400,WEDNESDAY,N,H,WHW,17,8,2012,Light Rain
Mount Road ATM,635700,WEDNESDAY,N,H,WHW,17,8,2012,Light Rain
Airport ATM,502800,WEDNESDAY,N,H,WHW,17,8,2012,Light Rain
KK Nagar ATM,1052800,WEDNESDAY,N,H,WHW,17,8,2012,Light Rain
Christ College ATM,637800,WEDNESDAY,N,H,WHW,17,8,2012,Light Rain
Mount Road ATM,709600,SATURDAY,NH,H,WHH,18,8,2012,Light Rain
Airport ATM,531900,SATURDAY,NH,H,WHH,18,8,2012,Light Rain
KK Nagar ATM,747500,SATURDAY,NH,H,WHH,18,8,2012,Light Rain
Christ College ATM,403800,SATURDAY,NH,H,WHH,18,8,2012,Light Rain
Big Street ATM,137000,SUNDAY,NH,H,HHH,19,8,2012,No Rain
Mount Road ATM,3500,SUNDAY,NH,H,HHH,19,8,2012,No Rain
Airport ATM,176600,SUNDAY,NH,H,HHH,19,8,2012,No Rain
KK Nagar ATM,512000,SUNDAY,NH,H,HHH,19,8,2012,No Rain
Christ College ATM,157900,SUNDAY,NH,H,HHH,19,8,2012,No Rain
Big Street ATM,157900,MONDAY,M,H,HHW,20,8,2012,Light Rain
Airport ATM,396900,MONDAY,M,H,HHW,20,8,2012,Light Rain
KK Nagar ATM,1093400,MONDAY,M,H,HHW,20,8,2012,Light Rain
Christ College ATM,291500,MONDAY,M,H,HHW,20,8,2012,Light Rain
Big Street ATM,8200,MONDAY,M,H,HHW,21,8,2012,Moderate Rain
Mount Road ATM,263300,MONDAY,M,H,HHW,21,8,2012,Moderate Rain
Airport ATM,600600,MONDAY,M,H,HHW,21,8,2012,Moderate Rain
KK Nagar ATM,1225500,MONDAY,M,H,HHW,21,8,2012,Moderate Rain
Christ College ATM,426400,MONDAY,M,H,HHW,21,8,2012,Moderate Rain
Big Street ATM,164400,MONDAY,M,H,HHW,22,8,2012,Light Rain
Mount Road ATM,491400,MONDAY,M,H,HHW,22,8,2012,Light Rain
Airport ATM,447600,MONDAY,M,H,HHW,22,8,2012,Light Rain
KK Nagar ATM,1083600,MONDAY,M,H,HHW,22,8,2012,Light Rain
Christ College ATM,314600,MONDAY,M,H,HHW,22,8,2012,Light Rain
Big Street ATM,136900,MONDAY,M,H,HHW,23,8,2012,Heavy Rain
Mount Road ATM,490100,MONDAY,M,H,HHW,23,8,2012,Heavy Rain
Airport ATM,268300,MONDAY,M,H,HHW,23,8,2012,Heavy Rain
KK Nagar ATM,780300,MONDAY,M,H,HHW,23,8,2012,Heavy Rain
Christ College ATM,383800,MONDAY,M,H,HHW,23,8,2012,Heavy Rain
Big Street ATM,201100,MONDAY,M,H,HHW,24,8,2012,Light Rain
Mount Road ATM,474200,MONDAY,M,H,HHW,24,8,2012,Light Rain
Airport ATM,586000,MONDAY,M,H,HHW,24,8,2012,Light Rain
KK Nagar ATM,729500,MONDAY,M,H,HHW,24,8,2012,Light Rain
Christ College ATM,540800,MONDAY,M,H,HHW,24,8,2012,Light Rain
Big Street ATM,210600,SATURDAY,NH,H,WHH,25,8,2012,Moderate Rain
Mount Road ATM,719900,SATURDAY,NH,H,WHH,25,8,2012,Moderate Rain
Airport ATM,778700,SATURDAY,NH,H,WHH,25,8,2012,Moderate Rain
KK Nagar ATM,1156000,SATURDAY,NH,H,WHH,25,8,2012,Moderate Rain
Christ College ATM,343100,SATURDAY,NH,H,WHH,25,8,2012,Moderate Rain
Big Street ATM,152000,SUNDAY,NH,H,HHW,26,8,2012,Moderate Rain
Mount Road ATM,266300,SUNDAY,NH,H,HHW,26,8,2012,Moderate Rain
Airport ATM,444000,SUNDAY,NH,H,HHW,26,8,2012,Moderate Rain
KK Nagar ATM,322800,SUNDAY,NH,H,HHW,26,8,2012,Moderate Rain
Christ College ATM,243900,SUNDAY,NH,H,HHW,26,8,2012,Moderate Rain
Big Street ATM,134100,SUNDAY,NH,H,HHW,27,8,2012,Light Rain
Mount Road ATM,575200,SUNDAY,NH,H,HHW,27,8,2012,Light Rain
Airport ATM,360500,SUNDAY,NH,H,HHW,27,8,2012,Light Rain
KK Nagar ATM,1110500,SUNDAY,NH,H,HHW,27,8,2012,Light Rain
Christ College ATM,433600,SUNDAY,NH,H,HHW,27,8,2012,Light Rain
Big Street ATM,105700,SUNDAY,NH,H,HHW,28,8,2012,Light Rain
Mount Road ATM,403400,SUNDAY,NH,H,HHW,28,8,2012,Light Rain
Airport ATM,425600,SUNDAY,NH,H,HHW,28,8,2012,Light Rain
KK Nagar ATM,700700,SUNDAY,NH,H,HHW,28,8,2012,Light Rain
Christ College ATM,418500,SUNDAY,NH,H,HHW,28,8,2012,Light Rain
Big Street ATM,154000,SUNDAY,NH,H,HHW,29,8,2012,Moderate Rain
Mount Road ATM,435800,SUNDAY,NH,H,HHW,29,8,2012,Moderate Rain
Airport ATM,354700,SUNDAY,NH,H,HHW,29,8,2012,Moderate Rain
KK Nagar ATM,792800,SUNDAY,NH,H,HHW,29,8,2012,Moderate Rain
Christ College ATM,414900,SUNDAY,NH,H,HHW,29,8,2012,Moderate Rain
Big Street ATM,137900,SUNDAY,NH,H,HHW,30,8,2012,Moderate Rain
Mount Road ATM,483900,SUNDAY,NH,H,HHW,30,8,2012,Moderate Rain
Airport ATM,390400,SUNDAY,NH,H,HHW,30,8,2012,Moderate Rain
KK Nagar ATM,874600,SUNDAY,NH,H,HHW,30,8,2012,Moderate Rain
Christ College ATM,412400,SUNDAY,NH,H,HHW,30,8,2012,Moderate Rain
Big Street ATM,146900,SUNDAY,NH,H,HHW,31,8,2012,Light Rain
Mount Road ATM,693100,SUNDAY,NH,H,HHW,31,8,2012,Light Rain
Airport ATM,606200,SUNDAY,NH,H,HHW,31,8,2012,Light Rain
KK Nagar ATM,1095200,SUNDAY,NH,H,HHW,31,8,2012,Light Rain
Christ College ATM,473900,SUNDAY,NH,H,HHW,31,8,2012,Light Rain
Big Street ATM,216400,SATURDAY,NH,H,WHH,1,9,2012,Light Rain
Mount Road ATM,1229000,SATURDAY,NH,H,WHH,1,9,2012,Light Rain
Airport ATM,878300,SATURDAY,NH,H,WHH,1,9,2012,Light Rain
KK Nagar ATM,2169400,SATURDAY,NH,H,WHH,1,9,2012,Light Rain
Christ College ATM,768100,SATURDAY,NH,H,WHH,1,9,2012,Light Rain
Big Street ATM,365100,SUNDAY,NH,H,HHW,2,9,2012,Light Rain
Mount Road ATM,340000,SUNDAY,NH,H,HHW,2,9,2012,Light Rain
Airport ATM,346000,SUNDAY,NH,H,HHW,2,9,2012,Light Rain
KK Nagar ATM,819700,SUNDAY,NH,H,HHW,2,9,2012,Light Rain
Christ College ATM,555700,SUNDAY,NH,H,HHW,2,9,2012,Light Rain
Big Street ATM,187100,SUNDAY,NH,H,HHW,3,9,2012,Light Rain
Mount Road ATM,927800,SUNDAY,NH,H,HHW,3,9,2012,Light Rain
Airport ATM,574600,SUNDAY,NH,H,HHW,3,9,2012,Light Rain
KK Nagar ATM,1707100,SUNDAY,NH,H,HHW,3,9,2012,Light Rain
Christ College ATM,554700,SUNDAY,NH,H,HHW,3,9,2012,Light Rain
Big Street ATM,245200,SUNDAY,NH,H,HHW,4,9,2012,Light Rain
Mount Road ATM,846300,SUNDAY,NH,H,HHW,4,9,2012,Light Rain
Airport ATM,791800,SUNDAY,NH,H,HHW,4,9,2012,Light Rain
KK Nagar ATM,1127100,SUNDAY,NH,H,HHW,4,9,2012,Light Rain
Christ College ATM,718900,SUNDAY,NH,H,HHW,4,9,2012,Light Rain
Big Street ATM,274900,SUNDAY,NH,H,HHW,5,9,2012,Light Rain
Mount Road ATM,1003600,SUNDAY,NH,H,HHW,5,9,2012,Light Rain
Airport ATM,540500,SUNDAY,NH,H,HHW,5,9,2012,Light Rain
KK Nagar ATM,1449600,SUNDAY,NH,H,HHW,5,9,2012,Light Rain
Christ College ATM,648500,SUNDAY,NH,H,HHW,5,9,2012,Light Rain
Big Street ATM,193400,SUNDAY,NH,H,HHW,6,9,2012,Moderate Rain
Mount Road ATM,798700,SUNDAY,NH,H,HHW,6,9,2012,Moderate Rain
Airport ATM,557200,SUNDAY,NH,H,HHW,6,9,2012,Moderate Rain
KK Nagar ATM,1099200,SUNDAY,NH,H,HHW,6,9,2012,Moderate Rain
Christ College ATM,563900,SUNDAY,NH,H,HHW,6,9,2012,Moderate Rain
Big Street ATM,368700,SUNDAY,NH,H,HHW,7,9,2012,Light Rain
Mount Road ATM,669600,SUNDAY,NH,H,HHW,7,9,2012,Light Rain
Airport ATM,538300,SUNDAY,NH,H,HHW,7,9,2012,Light Rain
KK Nagar ATM,808400,SUNDAY,NH,H,HHW,7,9,2012,Light Rain
Christ College ATM,556800,SUNDAY,NH,H,HHW,7,9,2012,Light Rain
Big Street ATM,315100,SATURDAY,NH,H,WHH,8,9,2012,Moderate Rain
Mount Road ATM,786300,SATURDAY,NH,H,WHH,8,9,2012,Moderate Rain
Airport ATM,409700,SATURDAY,NH,H,WHH,8,9,2012,Moderate Rain
KK Nagar ATM,1053900,SATURDAY,NH,H,WHH,8,9,2012,Moderate Rain
Christ College ATM,679300,SATURDAY,NH,H,WHH,8,9,2012,Moderate Rain
Big Street ATM,303100,SUNDAY,NH,H,HHW,9,9,2012,Moderate Rain
Mount Road ATM,401100,SUNDAY,NH,H,HHW,9,9,2012,Moderate Rain
Airport ATM,254300,SUNDAY,NH,H,HHW,9,9,2012,Moderate Rain
KK Nagar ATM,537700,SUNDAY,NH,H,HHW,9,9,2012,Moderate Rain
Christ College ATM,430500,SUNDAY,NH,H,HHW,9,9,2012,Moderate Rain
Big Street ATM,182900,SUNDAY,NH,H,HHW,10,9,2012,No Rain
Mount Road ATM,471700,SUNDAY,NH,H,HHW,10,9,2012,No Rain
Airport ATM,695800,SUNDAY,NH,H,HHW,10,9,2012,No Rain
KK Nagar ATM,1182500,SUNDAY,NH,H,HHW,10,9,2012,No Rain
Christ College ATM,463600,SUNDAY,NH,H,HHW,10,9,2012,No Rain
Big Street ATM,202800,SUNDAY,NH,H,HHW,11,9,2012,No Rain
Mount Road ATM,650300,SUNDAY,NH,H,HHW,11,9,2012,No Rain
Airport ATM,671500,SUNDAY,NH,H,HHW,11,9,2012,No Rain
KK Nagar ATM,1163300,SUNDAY,NH,H,HHW,11,9,2012,No Rain
Christ College ATM,654600,SUNDAY,NH,H,HHW,11,9,2012,No Rain
Big Street ATM,419700,SUNDAY,NH,H,HHW,12,9,2012,Light Rain
Mount Road ATM,600200,SUNDAY,NH,H,HHW,12,9,2012,Light Rain
Airport ATM,451700,SUNDAY,NH,H,HHW,12,9,2012,Light Rain
KK Nagar ATM,1040300,SUNDAY,NH,H,HHW,12,9,2012,Light Rain
Christ College ATM,503600,SUNDAY,NH,H,HHW,12,9,2012,Light Rain
Big Street ATM,344100,SUNDAY,NH,H,HHW,13,9,2012,Light Rain
Mount Road ATM,421100,SUNDAY,NH,H,HHW,13,9,2012,Light Rain
Airport ATM,455500,SUNDAY,NH,H,HHW,13,9,2012,Light Rain
KK Nagar ATM,1112900,SUNDAY,NH,H,HHW,13,9,2012,Light Rain
Christ College ATM,569200,SUNDAY,NH,H,HHW,13,9,2012,Light Rain
Big Street ATM,322400,SUNDAY,NH,H,HHW,14,9,2012,Moderate Rain
Mount Road ATM,767600,SUNDAY,NH,H,HHW,14,9,2012,Moderate Rain
Airport ATM,624200,SUNDAY,NH,H,HHW,14,9,2012,Moderate Rain
KK Nagar ATM,899800,SUNDAY,NH,H,HHW,14,9,2012,Moderate Rain
Christ College ATM,472300,SUNDAY,NH,H,HHW,14,9,2012,Moderate Rain
Big Street ATM,217400,SATURDAY,NH,H,WHH,15,9,2012,Light Rain
Mount Road ATM,820800,SATURDAY,NH,H,WHH,15,9,2012,Light Rain
Airport ATM,589800,SATURDAY,NH,H,WHH,15,9,2012,Light Rain
KK Nagar ATM,825600,SATURDAY,NH,H,WHH,15,9,2012,Light Rain
Christ College ATM,441500,SATURDAY,NH,H,WHH,15,9,2012,Light Rain
Big Street ATM,373100,SUNDAY,NH,H,HHW,16,9,2012,No Rain
Mount Road ATM,366700,SUNDAY,NH,H,HHW,16,9,2012,No Rain
Airport ATM,345100,SUNDAY,NH,H,HHW,16,9,2012,No Rain
KK Nagar ATM,356900,SUNDAY,NH,H,HHW,16,9,2012,No Rain
Christ College ATM,442800,SUNDAY,NH,H,HHW,16,9,2012,No Rain
Big Street ATM,343000,SUNDAY,NH,H,HHW,17,9,2012,Light Rain
Mount Road ATM,597500,SUNDAY,NH,H,HHW,17,9,2012,Light Rain
Airport ATM,544900,SUNDAY,NH,H,HHW,17,9,2012,Light Rain
KK Nagar ATM,1123900,SUNDAY,NH,H,HHW,17,9,2012,Light Rain
Christ College ATM,337400,SUNDAY,NH,H,HHW,17,9,2012,Light Rain
Big Street ATM,321000,SUNDAY,NH,H,HHW,18,9,2012,Light Rain
Mount Road ATM,551200,SUNDAY,NH,H,HHW,18,9,2012,Light Rain
Airport ATM,502800,SUNDAY,NH,H,HHW,18,9,2012,Light Rain
KK Nagar ATM,1023500,SUNDAY,NH,H,HHW,18,9,2012,Light Rain
Christ College ATM,386300,SUNDAY,NH,H,HHW,18,9,2012,Light Rain
Big Street ATM,219700,WEDNESDAY,H,H,WHW,19,9,2012,No Rain
Mount Road ATM,430300,WEDNESDAY,H,H,WHW,19,9,2012,No Rain
Airport ATM,217100,WEDNESDAY,H,H,WHW,19,9,2012,No Rain
KK Nagar ATM,715500,WEDNESDAY,H,H,WHW,19,9,2012,No Rain
Christ College ATM,368300,WEDNESDAY,H,H,WHW,19,9,2012,No Rain
Big Street ATM,237300,WEDNESDAY,H,H,WHW,20,9,2012,No Rain
Mount Road ATM,443900,WEDNESDAY,H,H,WHW,20,9,2012,No Rain
Airport ATM,469200,WEDNESDAY,H,H,WHW,20,9,2012,No Rain
KK Nagar ATM,786000,WEDNESDAY,H,H,WHW,20,9,2012,No Rain
Christ College ATM,342400,WEDNESDAY,H,H,WHW,20,9,2012,No Rain
Big Street ATM,216300,WEDNESDAY,H,H,WHW,21,9,2012,Light Rain
Mount Road ATM,491800,WEDNESDAY,H,H,WHW,21,9,2012,Light Rain
Airport ATM,545800,WEDNESDAY,H,H,WHW,21,9,2012,Light Rain
KK Nagar ATM,1033900,WEDNESDAY,H,H,WHW,21,9,2012,Light Rain
Christ College ATM,447100,WEDNESDAY,H,H,WHW,21,9,2012,Light Rain
Big Street ATM,130200,SATURDAY,NH,H,WHH,22,9,2012,Light Rain
Mount Road ATM,784900,SATURDAY,NH,H,WHH,22,9,2012,Light Rain
Airport ATM,546000,SATURDAY,NH,H,WHH,22,9,2012,Light Rain
KK Nagar ATM,947100,SATURDAY,NH,H,WHH,22,9,2012,Light Rain
Christ College ATM,612100,SATURDAY,NH,H,WHH,22,9,2012,Light Rain
Big Street ATM,179500,SUNDAY,NH,H,HHW,23,9,2012,No Rain
Mount Road ATM,290900,SUNDAY,NH,H,HHW,23,9,2012,No Rain
Airport ATM,232500,SUNDAY,NH,H,HHW,23,9,2012,No Rain
KK Nagar ATM,350100,SUNDAY,NH,H,HHW,23,9,2012,No Rain
Christ College ATM,301200,SUNDAY,NH,H,HHW,23,9,2012,No Rain
Big Street ATM,148000,SUNDAY,NH,H,HHW,24,9,2012,No Rain
Mount Road ATM,531400,SUNDAY,NH,H,HHW,24,9,2012,No Rain
Airport ATM,503400,SUNDAY,NH,H,HHW,24,9,2012,No Rain
KK Nagar ATM,990400,SUNDAY,NH,H,HHW,24,9,2012,No Rain
Christ College ATM,442000,SUNDAY,NH,H,HHW,24,9,2012,No Rain
Big Street ATM,256500,SUNDAY,NH,H,HHW,25,9,2012,No Rain
Mount Road ATM,473400,SUNDAY,NH,H,HHW,25,9,2012,No Rain
Airport ATM,391900,SUNDAY,NH,H,HHW,25,9,2012,No Rain
KK Nagar ATM,1024300,SUNDAY,NH,H,HHW,25,9,2012,No Rain
Christ College ATM,320300,SUNDAY,NH,H,HHW,25,9,2012,No Rain
Big Street ATM,296200,SUNDAY,NH,H,HHW,26,9,2012,Light Rain
Mount Road ATM,480400,SUNDAY,NH,H,HHW,26,9,2012,Light Rain
Airport ATM,484200,SUNDAY,NH,H,HHW,26,9,2012,Light Rain
KK Nagar ATM,752100,SUNDAY,NH,H,HHW,26,9,2012,Light Rain
Christ College ATM,320200,SUNDAY,NH,H,HHW,26,9,2012,Light Rain
Big Street ATM,255000,SUNDAY,NH,H,HHW,27,9,2012,Moderate Rain
Mount Road ATM,509200,SUNDAY,NH,H,HHW,27,9,2012,Moderate Rain
Airport ATM,454000,SUNDAY,NH,H,HHW,27,9,2012,Moderate Rain
KK Nagar ATM,825000,SUNDAY,NH,H,HHW,27,9,2012,Moderate Rain
Christ College ATM,394800,SUNDAY,NH,H,HHW,27,9,2012,Moderate Rain
Big Street ATM,185700,SUNDAY,NH,H,HHW,28,9,2012,Moderate Rain
Mount Road ATM,263600,SUNDAY,NH,H,HHW,28,9,2012,Moderate Rain
Airport ATM,536900,SUNDAY,NH,H,HHW,28,9,2012,Moderate Rain
KK Nagar ATM,1239900,SUNDAY,NH,H,HHW,28,9,2012,Moderate Rain
Christ College ATM,696200,SUNDAY,NH,H,HHW,28,9,2012,Moderate Rain
Big Street ATM,167500,SATURDAY,NH,H,WHH,29,9,2012,Moderate Rain
Mount Road ATM,690700,SATURDAY,NH,H,WHH,29,9,2012,Moderate Rain
Airport ATM,213200,SATURDAY,NH,H,WHH,29,9,2012,Moderate Rain
KK Nagar ATM,1008000,SATURDAY,NH,H,WHH,29,9,2012,Moderate Rain
Christ College ATM,384400,SATURDAY,NH,H,WHH,29,9,2012,Moderate Rain
Big Street ATM,219800,SUNDAY,NH,H,HHW,30,9,2012,Heavy Rain
Mount Road ATM,335500,SUNDAY,NH,H,HHW,30,9,2012,Heavy Rain
Airport ATM,487300,SUNDAY,NH,H,HHW,30,9,2012,Heavy Rain
KK Nagar ATM,468500,SUNDAY,NH,H,HHW,30,9,2012,Heavy Rain
Christ College ATM,306500,SUNDAY,NH,H,HHW,30,9,2012,Heavy Rain
Big Street ATM,430900,SUNDAY,NH,H,HHW,1,10,2012,Moderate Rain
Mount Road ATM,893700,SUNDAY,NH,H,HHW,1,10,2012,Moderate Rain
Airport ATM,884200,SUNDAY,NH,H,HHW,1,10,2012,Moderate Rain
KK Nagar ATM,1580700,SUNDAY,NH,H,HHW,1,10,2012,Moderate Rain
Christ College ATM,308000,SUNDAY,NH,H,HHW,1,10,2012,Moderate Rain
Big Street ATM,347000,TUESDAY,N,H,WHW,2,10,2012,Light Rain
Mount Road ATM,438100,TUESDAY,N,H,WHW,2,10,2012,Light Rain
Airport ATM,426900,TUESDAY,N,H,WHW,2,10,2012,Light Rain
KK Nagar ATM,550500,TUESDAY,N,H,WHW,2,10,2012,Light Rain
Christ College ATM,276700,TUESDAY,N,H,WHW,2,10,2012,Light Rain
Big Street ATM,339700,TUESDAY,N,H,WHW,3,10,2012,No Rain
Mount Road ATM,991900,TUESDAY,N,H,WHW,3,10,2012,No Rain
Airport ATM,498700,TUESDAY,N,H,WHW,3,10,2012,No Rain
KK Nagar ATM,1679600,TUESDAY,N,H,WHW,3,10,2012,No Rain
Christ College ATM,822700,TUESDAY,N,H,WHW,3,10,2012,No Rain
Big Street ATM,229300,TUESDAY,N,H,WHW,4,10,2012,No Rain
Mount Road ATM,674400,TUESDAY,N,H,WHW,4,10,2012,No Rain
Airport ATM,524900,TUESDAY,N,H,WHW,4,10,2012,No Rain
KK Nagar ATM,1587800,TUESDAY,N,H,WHW,4,10,2012,No Rain
Christ College ATM,740800,TUESDAY,N,H,WHW,4,10,2012,No Rain
Big Street ATM,267700,TUESDAY,N,H,WHW,5,10,2012,No Rain
Mount Road ATM,748400,TUESDAY,N,H,WHW,5,10,2012,No Rain
Airport ATM,566000,TUESDAY,N,H,WHW,5,10,2012,No Rain
KK Nagar ATM,1338200,TUESDAY,N,H,WHW,5,10,2012,No Rain
Christ College ATM,719600,TUESDAY,N,H,WHW,5,10,2012,No Rain
Big Street ATM,324600,SATURDAY,NH,H,WHH,6,10,2012,Light Rain
Mount Road ATM,717600,SATURDAY,NH,H,WHH,6,10,2012,Light Rain
Airport ATM,502700,SATURDAY,NH,H,WHH,6,10,2012,Light Rain
KK Nagar ATM,1332200,SATURDAY,NH,H,WHH,6,10,2012,Light Rain
Christ College ATM,835500,SATURDAY,NH,H,WHH,6,10,2012,Light Rain
Big Street ATM,230400,SUNDAY,NH,H,HHW,7,10,2012,Light Rain
Mount Road ATM,500,SUNDAY,NH,H,HHW,7,10,2012,Light Rain
Airport ATM,454400,SUNDAY,NH,H,HHW,7,10,2012,Light Rain
KK Nagar ATM,542300,SUNDAY,NH,H,HHW,7,10,2012,Light Rain
Christ College ATM,401500,SUNDAY,NH,H,HHW,7,10,2012,Light Rain
Big Street ATM,221800,SUNDAY,NH,H,HHW,8,10,2012,Light Rain
Mount Road ATM,776200,SUNDAY,NH,H,HHW,8,10,2012,Light Rain
Airport ATM,793500,SUNDAY,NH,H,HHW,8,10,2012,Light Rain
KK Nagar ATM,1393300,SUNDAY,NH,H,HHW,8,10,2012,Light Rain
Christ College ATM,729500,SUNDAY,NH,H,HHW,8,10,2012,Light Rain
Big Street ATM,281500,SUNDAY,NH,H,HHW,9,10,2012,Heavy Rain
Mount Road ATM,648300,SUNDAY,NH,H,HHW,9,10,2012,Heavy Rain
Airport ATM,621500,SUNDAY,NH,H,HHW,9,10,2012,Heavy Rain
KK Nagar ATM,1117400,SUNDAY,NH,H,HHW,9,10,2012,Heavy Rain
Christ College ATM,679300,SUNDAY,NH,H,HHW,9,10,2012,Heavy Rain
Big Street ATM,361100,SUNDAY,NH,H,HHW,10,10,2012,Moderate Rain
Mount Road ATM,873300,SUNDAY,NH,H,HHW,10,10,2012,Moderate Rain
Airport ATM,678200,SUNDAY,NH,H,HHW,10,10,2012,Moderate Rain
KK Nagar ATM,1278600,SUNDAY,NH,H,HHW,10,10,2012,Moderate Rain
Christ College ATM,703600,SUNDAY,NH,H,HHW,10,10,2012,Moderate Rain
Big Street ATM,361400,SUNDAY,NH,H,HHW,11,10,2012,No Rain
Mount Road ATM,752200,SUNDAY,NH,H,HHW,11,10,2012,No Rain
Airport ATM,600000,SUNDAY,NH,H,HHW,11,10,2012,No Rain
KK Nagar ATM,1215000,SUNDAY,NH,H,HHW,11,10,2012,No Rain
Christ College ATM,618400,SUNDAY,NH,H,HHW,11,10,2012,No Rain
Big Street ATM,262600,SUNDAY,NH,H,HHW,12,10,2012,Light Rain
Mount Road ATM,735500,SUNDAY,NH,H,HHW,12,10,2012,Light Rain
Airport ATM,182700,SUNDAY,NH,H,HHW,12,10,2012,Light Rain
KK Nagar ATM,923100,SUNDAY,NH,H,HHW,12,10,2012,Light Rain
Christ College ATM,564200,SUNDAY,NH,H,HHW,12,10,2012,Light Rain
Big Street ATM,270700,SATURDAY,NH,H,WHH,13,10,2012,Light Rain
