ATM Name,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence,Day,Month,Year,Rainfall_Status
Christ College ATM,95200,SUNDAY,H,H,HHH,16,1,2011,No Rain
Big Street ATM,129800,MONDAY,H,H,HHW,17,1,2011,No Rain
Mount Road ATM,221900,MONDAY,H,H,HHW,17,1,2011,No Rain
Airport ATM,100000,MONDAY,H,H,HHW,17,1,2011,No Rain
KK Nagar ATM,524800,MONDAY,H,H,HHW,17,1,2011,No Rain
Christ College ATM,126800,MONDAY,H,H,HHW,17,1,2011,No Rain
Big Street ATM,163600,TUESDAY,NH,W,HWW,18,1,2011,No Rain
Mount Road ATM,405200,TUESDAY,NH,W,HWW,18,1,2011,No Rain
Airport ATM,343100,TUESDAY,NH,W,HWW,18,1,2011,No Rain
KK Nagar ATM,831200,TUESDAY,NH,W,HWW,18,1,2011,No Rain
Christ College ATM,380000,TUESDAY,NH,W,HWW,18,1,2011,No Rain
Big Street ATM,79500,WEDNESDAY,NH,W,WWW,19,1,2011,No Rain
Mount Road ATM,537700,WEDNESDAY,NH,W,WWW,19,1,2011,No Rain
Airport ATM,428900,WEDNESDAY,NH,W,WWW,19,1,2011,No Rain
KK Nagar ATM,649200,WEDNESDAY,NH,W,WWW,19,1,2011,No Rain
Christ College ATM,446800,WEDNESDAY,NH,W,WWW,19,1,2011,No Rain
Big Street ATM,81700,THURSDAY,NH,W,WWW,20,1,2011,No Rain
Mount Road ATM,565500,THURSDAY,NH,W,WWW,20,1,2011,No Rain
Airport ATM,298000,THURSDAY,NH,W,WWW,20,1,2011,No Rain
KK Nagar ATM,445900,THURSDAY,NH,W,WWW,20,1,2011,No Rain
Christ College ATM,571300,THURSDAY,NH,W,WWW,20,1,2011,No Rain
Big Street ATM,86600,FRIDAY,NH,W,WWH,21,1,2011,No Rain
Mount Road ATM,450400,FRIDAY,NH,W,WWH,21,1,2011,No Rain
Airport ATM,350000,FRIDAY,NH,W,WWH,21,1,2011,No Rain
KK Nagar ATM,581500,FRIDAY,NH,W,WWH,21,1,2011,No Rain
Christ College ATM,386800,FRIDAY,NH,W,WWH,21,1,2011,No Rain
Big Street ATM,85400,SATURDAY,NH,H,WHH,22,1,2011,No Rain
Mount Road ATM,455600,SATURDAY,NH,H,WHH,22,1,2011,No Rain
Airport ATM,363600,SATURDAY,NH,H,WHH,22,1,2011,No Rain
KK Nagar ATM,683300,SATURDAY,NH,H,WHH,22,1,2011,No Rain
Christ College ATM,465300,SATURDAY,NH,H,WHH,22,1,2011,No Rain
Big Street ATM,36800,SUNDAY,NH,H,HHW,23,1,2011,No Rain
Mount Road ATM,352100,SUNDAY,NH,H,HHW,23,1,2011,No Rain
Airport ATM,288500,SUNDAY,NH,H,HHW,23,1,2011,No Rain
KK Nagar ATM,290000,SUNDAY,NH,H,HHW,23,1,2011,No Rain
Christ College ATM,212500,SUNDAY,NH,H,HHW,23,1,2011,No Rain
Big Street ATM,103900,MONDAY,NH,W,HWW,24,1,2011,No Rain
Mount Road ATM,498900,MONDAY,NH,W,HWW,24,1,2011,No Rain
Airport ATM,247800,MONDAY,NH,W,HWW,24,1,2011,No Rain
KK Nagar ATM,800500,MONDAY,NH,W,HWW,24,1,2011,No Rain
Christ College ATM,410800,MONDAY,NH,W,HWW,24,1,2011,No Rain
Big Street ATM,139900,TUESDAY,NH,W,WHW,25,1,2011,No Rain
Mount Road ATM,439300,TUESDAY,NH,W,WHW,25,1,2011,No Rain
Airport ATM,363100,TUESDAY,NH,W,WHW,25,1,2011,No Rain
KK Nagar ATM,617000,TUESDAY,NH,W,WHW,25,1,2011,No Rain
Christ College ATM,325900,TUESDAY,NH,W,WHW,25,1,2011,No Rain
Big Street ATM,40500,WEDNESDAY,N,H,WHW,26,1,2011,No Rain
Mount Road ATM,255400,WEDNESDAY,N,H,WHW,26,1,2011,No Rain
